job|yaml_file
start-odfi-etl-jobs|data-sustain-snowflake-etl/jobs/odfi_etls/ox_video_traffic_hourly.yaml
start-odfi-etl-jobs|data-sustain-snowflake-etl/jobs/odfi_etls/segment_reach.yaml
start-odfi-etl-jobs|data-sustain-snowflake-etl/jobs/odfi_etls/segment_traffic.yaml
start-odfi-etl-jobs|data-sustain-snowflake-etl/jobs/odfi_etls/segment_users.yaml
start-odfi-etl-jobs|data-sustain-snowflake-etl/jobs/odfi_etls/sitesegment_reach.yaml
start-odfi-etl-jobs|data-sustain-snowflake-etl/jobs/odfi_etls/supply_bid_landscape_sum_hourly.yaml
start-odfi-etl-jobs|data-sustain-snowflake-etl/jobs/odfi_etls/supply_demand_geo.yaml
start-odfi-etl-jobs|data-sustain-snowflake-etl/jobs/odfi_etls/supply_demand_geo_conv.yaml
start-odfi-etl-jobs|data-sustain-snowflake-etl/jobs/odfi_etls/supply_key_value.yaml
start-odfi-etl-jobs|data-sustain-snowflake-etl/jobs/odfi_etls/supply_top_bid_hourly.yaml
start-odfi-etl-jobs|data-sustain-snowflake-etl/jobs/odfi_etls/viewability_buyer_brand_sum_hourly.yaml
start-odfi-etl-jobs|data-sustain-snowflake-etl/jobs/odfi_etls/viewability_traffic_sum_hourly.yaml
start-odfi-etl-jobs|data-sustain-snowflake-wheels/py-odfi-etl/ox_dw_snowflake_odfi_etl/app_config/rollup.yaml
api_options_to_dw|data-sustain-snowflake-etl/conf/api-options-to-dw.yaml
content_topic_loader|data-sustain-snowflake-wheels/py-odfi-etl/ox_dw_snowflake_odfi_etl/app_config/content_topics.yaml
demand_partner_run|data-sustain-snowflake-etl/jobs/demand_partner_dim_loader/demand_partner_dim_part_one.yaml
demand_partner_run|data-sustain-snowflake-etl/jobs/demand_partner_dim_loader/demand_partner_dim_part_two.yaml
api_extractor-new|data-sustain-snowflake-etl/conf/api-extractor-schema-config.yaml
api_extractor-new|data-sustain-snowflake-etl/conf/api-extractor/account_domain_block_dim.yaml
api_extractor-new|data-sustain-snowflake-etl/conf/api-extractor/ad_dim.yaml
api_extractor-new|data-sustain-snowflake-etl/conf/api-extractor/ad_unit_dim.yaml
api_extractor-new|data-sustain-snowflake-etl/conf/api-extractor/advertiser_dim.yaml
api_extractor-new|data-sustain-snowflake-etl/conf/api-extractor/deal_dim.yaml
api_extractor-new|data-sustain-snowflake-etl/conf/api-extractor/deal_participants_dim.yaml
api_extractor-new|data-sustain-snowflake-etl/conf/api-extractor/feeadjustment_dim.yaml
api_extractor-new|data-sustain-snowflake-etl/conf/api-extractor/feeschedule_pd_dim.yaml
api_extractor-new|data-sustain-snowflake-etl/conf/api-extractor/feeschedule_ssp_dim.yaml
api_extractor-new|data-sustain-snowflake-etl/conf/api-extractor/line_item_dim.yaml
api_extractor-new|data-sustain-snowflake-etl/conf/api-extractor/line_item_targeting.yaml
api_extractor-new|data-sustain-snowflake-etl/conf/api-extractor/lineitem_domain_block_dim.yaml
api_extractor-new|data-sustain-snowflake-etl/conf/api-extractor/order_dim.yaml
api_extractor-new|data-sustain-snowflake-etl/conf/api-extractor/package_dim.yaml
api_extractor-new|data-sustain-snowflake-etl/conf/api-extractor/partner_dim.yaml
api_extractor-new|data-sustain-snowflake-etl/conf/api-extractor/publisher_dim.yaml
api_extractor-new|data-sustain-snowflake-etl/conf/api-extractor/segment_dim.yaml
api_extractor-new|data-sustain-snowflake-etl/conf/api-extractor/site_dim.yaml
api_extractor-new|data-sustain-snowflake-etl/conf/api-extractor/site_section_dim.yaml
api_extractor-new|data-sustain-snowflake-etl/conf/api-extractor/targeting_dim.yaml
api_extractor-new|data-sustain-snowflake-etl/conf/api-extractor/user_dim.yaml
bid_performance|SnowflakeToGCS/BidPerformanceReport/scripts.yaml
bid_performance|SnowflakeToGCS/load_state.yaml
